episode,timestep,reward
26,800,29.1538
59,1600,25.0
91,2400,24.4375
119,3200,28.9286
134,4000,54.8667
153,4800,40.1579
166,5600,61.7692
174,6400,99.625
182,7200,96.25
190,8000,96.5
197,8800,124.5714
202,9600,164.6
209,10400,105.1429
214,11200,163.6
220,12000,135.5
225,12800,152.4
228,13600,277.3333
231,14400,227.6667
235,15200,226.5
239,16000,203.75
241,16800,349.0
244,17600,280.3333
247,18400,291.0
250,19200,260.0
252,20000,347.0
255,20800,292.6667
257,21600,249.0
259,22400,400.0
261,23200,400.0
263,24000,400.0
266,24800,346.0
268,25600,370.5
270,26400,373.5
273,27200,318.3333
276,28000,263.6667
279,28800,242.3333
281,29600,395.0
283,30400,400.0
285,31200,388.0
287,32000,400.0
289,32800,400.0
291,33600,400.0
293,34400,400.0
295,35200,400.0
297,36000,389.5
300,36800,263.6667
302,37600,380.5
304,38400,347.5
307,39200,327.3333
309,40000,351.5
312,40800,331.6667
314,41600,311.0
316,42400,400.0
318,43200,400.0
320,44000,400.0
322,44800,400.0
325,45600,265.0
328,46400,337.3333
330,47200,286.5
332,48000,400.0
335,48800,316.3333
338,49600,229.3333
340,50400,400.0
342,51200,400.0
344,52000,400.0
346,52800,400.0
348,53600,400.0
350,54400,400.0
352,55200,400.0
354,56000,400.0
356,56800,400.0
358,57600,349.0
360,58400,400.0
362,59200,388.5
365,60000,336.0
367,60800,400.0
369,61600,400.0
371,62400,400.0
373,63200,400.0
375,64000,400.0
377,64800,400.0
379,65600,400.0
381,66400,342.0
383,67200,400.0
385,68000,400.0
387,68800,387.5
389,69600,400.0
391,70400,400.0
394,71200,287.0
397,72000,337.0
399,72800,340.5
401,73600,387.5
403,74400,365.5
406,75200,273.3333
408,76000,323.5
411,76800,350.3333
413,77600,400.0
415,78400,385.0
417,79200,297.5
420,80000,393.0
422,80800,400.0
424,81600,400.0
426,82400,400.0
428,83200,392.5
430,84000,400.0
432,84800,400.0
434,85600,400.0
436,86400,400.0
438,87200,400.0
440,88000,360.0
442,88800,400.0
444,89600,381.0
446,90400,400.0
448,91200,306.5
450,92000,400.0
452,92800,400.0
455,93600,357.6667
457,94400,296.5
459,95200,333.5
461,96000,400.0
463,96800,400.0
465,97600,400.0
468,98400,344.6667
470,99200,370.5
473,100000,333.3333
